AUC,ACC,NLL,RMSE,ECE,Brier,REL,RES,n_events,n_pos,n_neg,kc_id,dataset,model,level,seed
0.7048354512176503,0.6845774034272437,0.6281288089615711,0.4628589842860899,0.06961315901121737,0.21423843933435083,0.006958930274997982,0.030082523356892713,3443,2105,1338,21,assist2012,dkt,full,2025
0.7416067146282973,0.6784741144414169,0.6551512278945462,0.46671852113914325,0.14876258848311144,0.21782617797430892,0.028574979142806572,0.045735544681954135,367,228,139,217,assist2012,dkt,full,2025
0.7236205144413252,0.748780487804878,0.5457151066592106,0.42100225559948473,0.05619141092290289,0.17724289921985387,0.0039077708305861525,0.03144359264355169,2870,2043,827,22,assist2012,dkt,full,2025
0.7967708333333334,0.8444924406047516,0.36926806325313044,0.33508594615199966,0.06599113475893413,0.1122825913085808,0.013639445722515048,0.018340322709314055,926,800,126,24,assist2012,dkt,full,2025
0.5256477285930058,0.5488126649076517,0.8752002733839345,0.5521455241381636,0.2373171861905182,0.3048646798258074,0.07902615034240006,0.013546169287346534,379,228,151,240,assist2012,dkt,full,2025
0.6844788546569676,0.7965420184961801,0.47977252757463484,0.3894063467647262,0.05892408547071413,0.1516373029006502,0.006035875058205952,0.012638553713470165,4974,3990,984,25,assist2012,dkt,full,2025
0.644586367565825,0.7777777777777778,0.570833437279447,0.41309729331571055,0.08520735142870794,0.17064937374476621,0.011681389783296707,0.013146102000387148,1260,982,278,26,assist2012,dkt,full,2025
0.6718041489898405,0.7097505668934241,0.5966921434246202,0.44707146035892803,0.07322342949579999,0.19987289066746458,0.008078927167043493,0.016269066125249667,6174,4346,1828,27,assist2012,dkt,full,2025
0.6871243365408279,0.726202766880033,0.5651548831301928,0.43554855254675134,0.02768730654862807,0.18970254162557024,0.0009723068878991687,0.02219959536172979,29058,20253,8805,280,assist2012,dkt,full,2025
0.5892592592592593,0.5970873786407767,0.7252666626393075,0.5073447346026945,0.13323668451093643,0.2573986797290785,0.032525491357652474,0.013984366612325914,412,250,162,287,assist2012,dkt,full,2025
0.7313026757221177,0.7288629737609329,0.6225463928140187,0.44344312243684314,0.11748691247748996,0.19664180283653704,0.01887689010617615,0.028676572494217442,343,242,101,290,assist2012,dkt,full,2025
0.6248417162170503,0.608424336973479,0.7036807199362842,0.4966671744706517,0.10353007065074143,0.24667828219666074,0.015552711350068348,0.012426112915830049,2564,1481,1083,294,assist2012,dkt,full,2025
0.5844913584639613,0.6711509715994021,0.6419421665737804,0.4728648545845494,0.0719695713577071,0.22360117070126706,0.006928123710386934,0.008719474028071062,2007,1314,693,1,assist2012,dkt,t500,42
0.6759543761638735,0.6970260223048327,0.5999248592050653,0.4533998948706282,0.0530785123322533,0.2055714646686967,0.004128003658902529,0.020217762927380693,538,358,180,101,assist2012,dkt,t500,42
0.6526860736163062,0.7859469520707306,0.49636703218325373,0.40133324432309053,0.061970880977105645,0.16106837299889748,0.009503940072984609,0.008154544434402486,2149,1720,429,103,assist2012,dkt,t500,42
0.8097127115308934,0.7509293680297398,0.5114375749783037,0.41478461791412696,0.09362015540825831,0.17204627925816832,0.01609610123474457,0.064205426786533,538,363,175,105,assist2012,dkt,t500,42
0.6420403547194198,0.7639705882352941,0.5347345117372392,0.420215546611569,0.06287530965226537,0.1765811056140597,0.006706637227691065,0.010356773670079967,1360,1038,322,106,assist2012,dkt,t500,42
0.6448688595334564,0.6763005780346821,0.6215098486216637,0.4640771117137693,0.06165371770016125,0.21536756561659431,0.003979007115280337,0.015881405821351786,1211,787,424,11,assist2012,dkt,t500,42
