dataset,model,seed,fold,bucket,n_kcs,n_events,auc,acc,nll,rmse,ece,brier,uncertainty,reliability,resolution
junyi,simplekt,2025,2,medium,25,2506,0.6510399176198971,0.6149241819632881,0.7368170265595524,0.4981861198972295,0.13561100430657652,0.24818941005825673,0.24277567835598396,0.023190243265640346,0.01783001309787562
junyi,irt_1pl,2026,3,dense,1301,3242486,0.5,0.7037418203193475,0.6076612461594805,0.4566066173911585,0.000576534853271915,0.2084896030453958,0.20848927065295872,3.323924370372686e-07,0.0
junyi,irt_1pl,2026,3,medium,25,2008,0.5,0.5876494023904383,0.7077812642375669,0.5056298067789748,0.11551588307563754,0.25566150150334344,0.24231758226059905,0.013343919242744364,0.0
junyi,dkt,2026,3,dense,1301,3242486,0.7298150342846463,0.7329811138737377,0.5481976663480727,0.42607318337085304,0.03901191803234123,0.18153835758777254,0.20848927065295872,0.002253771494338134,0.028981548763915073
junyi,dkt,2026,3,medium,25,2008,0.5686773315319741,0.5662350597609562,1.1969860694174084,0.5717836300979413,0.2773396188531986,0.32693651964797943,0.24231758226059905,0.08964739870037525,0.004517841207013009
junyi,simplekt,2026,3,dense,1301,3242486,0.7183568142189812,0.7219633330722168,0.6448725643635562,0.44019727892198346,0.09126409885073938,0.19377364437031852,0.20848927065295872,0.0120500848894495,0.02668507102920105
junyi,simplekt,2026,3,medium,25,2008,0.6554388766068944,0.6195219123505976,0.7175546735732314,0.49227455887114147,0.11944929987333153,0.24233424131177692,0.24231758226059905,0.019261769750520984,0.019820016024862903
junyi,irt_1pl,2027,4,dense,1291,3158694,0.5,0.705701153704664,0.6059790486130021,0.45573745217089395,0.003096763899242183,0.20769662531121785,0.2076870353645702,9.58994664764965e-06,0.0
junyi,irt_1pl,2027,4,medium,35,4854,0.5,0.5850844664194479,0.7096769193472012,0.5065289389232989,0.11751992338597406,0.25657156596676306,0.24276063357411784,0.013810932392645211,0.0
junyi,dkt,2027,4,dense,1291,3158694,0.7325319788745006,0.7355653950651757,0.5429808494381738,0.4240961477211073,0.035694980518218636,0.17985754251188327,0.2076870353645702,0.0019235627913738189,0.029517000549502116
junyi,dkt,2027,4,medium,35,4854,0.6243940305187631,0.5885867325916769,1.1057870275048927,0.5531613947354654,0.2572249945838211,0.30598752862568546,0.24276063357411784,0.07499817846872253,0.010996371519202842
junyi,simplekt,2027,4,dense,1291,3158694,0.7198102831719164,0.7265420455416067,0.6167842147260304,0.4359814369076243,0.08223888811423656,0.1900798133280368,0.2076870353645702,0.009487376784410199,0.02698444307791031
junyi,simplekt,2027,4,medium,35,4854,0.6909297767738507,0.6479192418623816,0.687806902269826,0.4804030098520106,0.11104590321513415,0.230787051874871,0.24276063357411784,0.015353483860336317,0.027475450842546222
xes3g5m,irt_1pl,42,0,dense,498,1267014,0.5,0.8007670002067854,0.5600097463711731,0.4300776219446173,0.1594601809572711,0.18496676089753714,0.15953921158661158,0.025427549310925647,0.0
xes3g5m,irt_1pl,42,0,medium,172,13137,0.5,0.7909720636370556,0.5657010024495273,0.4332839064174617,0.14966524438754114,0.18773494356037568,0.16533525818279324,0.022399685377582416,0.0
xes3g5m,irt_1pl,42,0,sparse,122,2164,0.5,0.7536968576709797,0.5873594114668899,0.4452745502993059,0.11239003842146533,0.1982694251442491,0.18563790440787067,0.012631520736378453,0.0
xes3g5m,irt_1pl,42,0,very_sparse,37,103,0.5,0.7087378640776699,0.613482413258995,0.45932063953942776,0.06743104482815565,0.21097544990690892,0.2064285041002922,0.004546945806616737,0.0
xes3g5m,irt_1pl,42,0,strict_cold_start,3,4,,1.0,0.44424727940574105,0.3586931807504856,0.3586931807504856,0.12866079791690055,0.0,0.12866079791690055,0.0
xes3g5m,dkt,42,0,dense,498,1267014,0.8189849990177435,0.8355637743545059,0.3854305202462129,0.3466673245346257,0.03739856544830952,0.12017823389999546,0.15953921158661158,0.0024259243293838647,0.041244245798567065
xes3g5m,dkt,42,0,medium,172,13137,0.865973484813704,0.8538479104818452,0.4199141233757241,0.33601294216177696,0.07348045801337769,0.11290469730021367,0.16533525818279324,0.008739866098479548,0.060164912284322636
xes3g5m,dkt,42,0,sparse,122,2164,0.854367709125377,0.8299445471349353,0.6211639055070909,0.3643958610557687,0.10464335933244065,0.1327843435545751,0.18563790440787067,0.014850112052601692,0.06708612795449215
xes3g5m,dkt,42,0,very_sparse,37,103,0.8908675799086757,0.8446601941747572,0.7436846235324379,0.36630309649865955,0.13895439636156506,0.13417795850450628,0.2064285041002922,0.026640609326632068,0.09636358383436007
xes3g5m,dkt,42,0,strict_cold_start,3,4,,0.75,0.6495482058760519,0.47831353808560545,0.47168446332216263,0.2287838407159699,0.0,0.22878117271677056,0.0
xes3g5m,simplekt,42,0,dense,498,1267014,0.7553025950130442,0.8090684080838886,0.6085817115919607,0.3904207244231724,0.11436347046261228,0.1524283420591147,0.15953921158661158,0.017560297710434738,0.0237225616308762
xes3g5m,simplekt,42,0,medium,172,13137,0.8409472579182374,0.8455507345664915,0.5668821789076034,0.35689149094312855,0.10154678621220697,0.12737153630760922,0.16533525818279324,0.014179725357233433,0.051023288423465464
xes3g5m,simplekt,42,0,sparse,122,2164,0.846252198549906,0.8202402957486137,0.6767805282561737,0.37657189299761595,0.11486967637611112,0.1418063905958079,0.18563790440787067,0.017905401801521937,0.06091345762908853
xes3g5m,simplekt,42,0,very_sparse,37,103,0.8735159817351597,0.8155339805825242,0.893559087418425,0.3952318395154853,0.16816399039032937,0.15620820696679433,0.2064285041002922,0.06434732670909797,0.11467707861100264
xes3g5m,simplekt,42,0,strict_cold_start,3,4,,0.0,1.6038129430788604,0.7888611276787425,0.7840690575540066,0.6223018787625774,0.0,0.6222981162726711,0.0
